"id","k3","k4","k5"
"1",0.52,7.7,2.32
"2",2.28,2.24,7.3
"3",3.94,4.18,6.86
"4",0.5,3.24,1.04
"5",1.1,0.7,3.02
"6",1.64,7.56,8.76
"7",2.6,3.26,8.62
"8",9,10.4,5.58
"9",4.54,2.62,3.16
"10",3.24,4.32,5.04
"11",1.08,1.64,1.1
"12",1.8,11.14,2.3
"13",5.02,5.54,4.14
"14",3.92,4.32,13.56
"15",2.06,1.9,7.6
"16",4.44,2.14,2.62
"17",3.08,1.24,5.08
"18",3.6,3.14,3.5
"19",2.9,4.8,14.56
"20",1.08,1.98,3.52
"21",5.22,2.38,4.64
"22",3.56,1.72,3.84
"23",12.3,1.3,11.5
"24",0.6,1.06,7.08
"25",4.54,2.48,10.2
"26",3.94,4.52,3.2
"27",1.9,1.52,3.98
"28",1.94,1.94,3.3
"29",3.96,5.4,2.7
"30",1.26,6.18,3.88
"31",2.54,1.28,6.72
"32",2.74,5.68,6.22
"33",2.2,4.46,3.82
"34",0.84,16.62,3.64
"35",2.28,3.24,2.92
"36",1.48,2.12,5.66
"37",2.4,0.84,7.98
"38",0.62,1.44,2.7
"39",3.1,1.26,4.52
"40",3.06,0.52,3.84
"41",4.74,0.96,1.68
"42",1.14,1.8,2.14
"43",0.38,2.38,7.76
"44",0.86,2.2,3.54
"45",5.32,1,1.64
"46",2.7,6.68,6.44
"47",3.7,3.88,3.02
"48",0.4,2.88,3.98
"49",2.84,8.52,4.28
"50",1.66,5.34,9.18
"51",2.26,5.5,0.78
"52",1.78,2.64,9.98
"53",0.82,0.48,4.74
"54",6.28,2.54,4.54
"55",2.62,4.5,9.74
"56",2.92,1.26,4.56
"57",4.58,3.72,3.96
"58",3.54,5.6,6.04
"59",2.72,10.08,6.38
"60",1,0.54,2.42
"61",1.42,1.32,3.74
"62",5.62,1.96,1.08
"63",3,2.98,5.9
"64",6.66,1.32,11.02
"65",0.6,2.14,5.32
"66",2.8,6.76,1.42
"67",10.76,3.3,2.14
"68",4.14,4.62,2.14
"69",2.3,10.66,2.06
"70",0.92,4.3,0.76
"71",3.24,4.78,2.74
"72",3.1,1.68,6.04
"73",2.1,2.54,5.12
"74",0.36,2.16,4.36
"75",6.06,2.64,1.28
"76",3.8,2.14,3.36
"77",3.68,1.4,4.06
"78",2.22,8.44,4.92
"79",1.62,2.46,5.34
"80",0.56,3.7,5.66
"81",0.92,2.62,3.4
"82",0.28,1.22,4.92
"83",8.44,6.46,3.06
"84",3.78,7.88,4.88
"85",2.6,1.32,7.88
"86",1.86,9.92,2.52
"87",2.6,0.78,2.38
"88",1.7,3.48,3.26
"89",6.18,0.84,2.64
"90",0.36,2.48,1.88
"91",0.34,2.78,5.76
"92",1.44,7.64,3.02
"93",1.62,6.62,4.32
"94",1.24,11.6,4.42
"95",1.22,6.86,0.26
"96",1.26,2.32,4.14
"97",0.6,1.04,3.5
"98",3.44,1.16,9.32
"99",1.64,1.12,2.42
"100",0.58,4.9,14.36
"101",9.32,6.38,4.9
"102",3.1,5.92,1.26
"103",3.8,1.86,4.36
"104",6.68,4.82,4.6
"105",2.12,5.4,10.56
"106",1.46,5.08,3.98
"107",0.92,3.72,3.32
"108",5.1,0.32,2.78
"109",7.96,1.2,3.8
"110",1.42,2.6,8.52
"111",3.36,5.28,3.32
"112",1.86,4.68,2.72
"113",2.54,4.14,4.56
"114",10.36,6.44,2.86
"115",0.8,4.3,3.4
"116",3.82,2.02,2.5
"117",3.42,1.16,6.62
"118",0.66,1.18,11.28
"119",1.32,1.82,3.3
"120",2.82,5.68,3.84
"121",3.42,6.22,5.56
"122",3.88,5.1,5.4
"123",0.5,3,5.46
"124",3.56,3.6,1.8
"125",0.44,3.74,3.12
"126",0.76,3.86,1.46
"127",1.02,2.94,5.42
"128",3.22,1.98,3.9
"129",0.5,6.04,4.94
"130",3.12,4.28,4.3
"131",3.98,2.52,2.24
"132",6.92,1.98,4.54
"133",0.84,4.14,1.82
"134",0.66,2.3,1.72
"135",3.72,5.32,6.18
"136",2.28,7.24,6.7
"137",4.56,9.8,6.58
"138",2.62,3.68,10.62
"139",3.94,8.74,3.18
"140",1.32,2.76,1.4
"141",0.22,2.06,6.68
"142",6.92,8.06,2.02
"143",1.46,3.58,2.22
"144",2.86,6.2,1.18
"145",1.46,1.78,6.42
